"Name","Province","Climate ID","Station ID","WMO ID","TC ID","Latitude (Decimal Degrees)","Longitude (Decimal Degrees)","Latitude","Longitude","Elevation (m)","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year"
"ACTIVE PASS","BRITISH COLUMBIA","1010066","14","","","48.87","-123.28","485200000","-1231700000","4","1984","1996","","","1984","1996","1984","1996"
"ALBERT HEAD","BRITISH COLUMBIA","1010235","15","","","48.4","-123.48","482400000","-1232900000","17","1971","1995","","","1971","1995","1971","1995"
"BAMBERTON OCEAN CEMENT","BRITISH COLUMBIA","1010595","16","","","48.58","-123.52","483500000","-1233100000","85.3","1961","1980","","","1961","1980","1961","1980"
"BEAR CREEK","BRITISH COLUMBIA","1010720","17","","","48.5","-124","483000000","-1240000000","350.5","1910","1971","","","1910","1971","1910","1971"
"BEAVER LAKE","BRITISH COLUMBIA","1010774","18","","","48.5","-123.35","483000000","-1232100000","61","1894","1952","","","1894","1952","1894","1952"
"BECHER BAY","BRITISH COLUMBIA","1010780","19","","","48.33","-123.63","482000000","-1233800000","12.2","1956","1966","","","1956","1966","1956","1966"
"BRENTWOOD BAY 2","BRITISH COLUMBIA","1010960","20","","","48.6","-123.47","483600000","-1232800000","38","1987","1997","","","1987","1997","1987","1997"
"BRENTWOOD CLARKE ROAD","BRITISH COLUMBIA","1010961","21","","","48.57","-123.45","483400000","-1232700000","30.5","1972","1980","","","1972","1980","1972","1980"
"BRENTWOOD W SAANICH RD","BRITISH COLUMBIA","1010965","22","","","48.57","-123.43","483400000","-1232600000","91.4","1960","1970","","","1960","1970","1960","1970"
"CENTRAL SAANICH VEYANESS","BRITISH COLUMBIA","1011467","25","","","48.58","-123.42","483500000","-1232500000","53.3","1963","1994","","","1963","1994","1963","1994"
"CENTRAL SAANICH ISL VIEW","BRITISH COLUMBIA","10114F6","24","","","48.57","-123.39","483424030","-1232331660","38","1970","2008","","","1970","2008","1970","2007"
"CENTRAL SAANICH TANNER","BRITISH COLUMBIA","10114FF","23","","","48.55","-123.4","483300000","-1232400000","88.4","1966","1968","","","1966","1968","1966","1968"
"CHEMAINUS","BRITISH COLUMBIA","1011500","26","","","48.94","-123.74","485606080","-1234430000","75","1919","2021","","","1919","2021","1919","2007"
