Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
00003,19950901,20110401,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen
00020,20040814,20220706,432,48.9219,9.9129,Abtsgmünd-Untergröningen,Baden-Württemberg
00029,20060110,20220706,260,49.7175,10.9101,Adelsdorf (Kläranlage),Bayern
00044,20070401,20220706,44,52.9336,8.237,Großenkneten,Niedersachsen
00046,20060103,20220706,325,48.945,12.4639,Aholfing,Bayern
00047,20081103,20131127,338,49.4997,9.5439,Ahorn-Eubigheim,Baden-Württemberg
00053,20051001,20220706,60,52.585,13.5634,Ahrensfelde,Brandenburg
00071,20041022,20200101,759,48.2156,8.9784,Albstadt-Badkap,Baden-Württemberg
00073,20070401,20220706,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern
00078,20041101,20220706,65,52.4853,7.9126,Alfhausen,Niedersachsen
00087,20050201,20220706,158,51.095,11.0479,Alperstedt,Thüringen
00091,20040901,20220706,300,50.7446,9.345,Alsfeld-Eifa,Hessen
00096,20190409,20220706,50,52.9437,12.8518,Neuruppin-Alt Ruppin,Brandenburg
00103,20040701,20220706,364,48.896,12.217,Hagelstadt,Bayern
00118,20050601,20220706,388,49.4053,12.2852,Altendorf,Bayern
00124,20061101,20220706,265,51.2388,11.577,"Bibra, Bad-Altenroda",Sachsen-Anhalt
00130,20041201,20220706,300,49.7283,9.7692,Altertheim-Oberaltertheim,Bayern
00131,20041101,20220706,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen
00142,20051201,20220706,511,48.406,11.3117,Altomünster-Maisbrunn,Bayern
00146,20060108,20220706,730,47.7922,10.0988,Altusried-Muthmannshofen,Bayern
00150,20050701,20220706,215,49.7273,8.1164,Alzey,Rheinland-Pfalz
00151,20050301,20220706,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern
00152,20090701,20120112,57,53.1268,10.2184,Amelinghausen,Niedersachsen
00154,20050301,20220706,516,48.0197,12.2925,Amerang-Pfaffing,Bayern
00158,20040701,20220706,210,50.784,8.9545,Amöneburg-Rüdigheim,Hessen
00161,20110901,20220706,75,50.4237,7.4202,Andernach,Rheinland-Pfalz
00164,19950901,20220706,54,53.0316,13.9908,Angermünde,Brandenburg
00167,20040901,20220706,11,53.8408,13.6854,Anklam,Mecklenburg-Vorpommern
00183,19950901,20220706,42,54.6791,13.4344,Arkona,Mecklenburg-Vorpommern
00191,20050301,20220706,217,49.9694,9.9114,Arnstein-Müdesheim,Bayern
00194,20050201,20220706,265,51.3431,9.0763,"Arolsen-Landau, Bad",Hessen
00198,19950901,20220706,164,51.3744,11.292,Artern,Thüringen
00200,20041201,20220706,517,50.085,6.3161,Lauperath-Scheidchen,Rheinland-Pfalz
00205,20050501,20220706,681,47.7275,12.2982,Aschau-Stein,Bayern
